student_id,partner,started_at,survey_time,survey_wave,q1_confidence,q2_belonging,open_text
S0159,PartnerA,2023-09-01 12:07:00,2023-09-01 12:14:29,pre,2,4,
S0051,PartnerA,2023-11-21 19:48:00,2023-11-21 20:01:34,post,4,4,I wish we had more time for small-group work.
S0053,PartnerA,2023-08-29 15:35:00,2023-08-29 15:49:01,pre,2,3,
S0072,PartnerA,2023-08-25 15:49:00,2023-08-25 15:51:36,pre,2,3,The dialogue exercises were eye-opening.
S0064,PartnerA,2023-11-25 18:44:00,2023-11-25 18:45:50,post,2,5,The dialogue exercises were eye-opening.
S0033,PartnerA,2023-11-25 17:36:00,2023-11-25 17:38:30,post,3,3,I wish we had more time for small-group work.
S0146,PartnerA,2023-09-02 12:12:00,2023-09-02 12:22:22,pre,3,3,
S0131,PartnerA,2023-11-27 14:08:00,2023-11-27 14:20:03,post,3,3,I wish we had more time for small-group work.
S0075,PartnerA,2023-11-16 20:01:00,2023-11-16 20:08:30,post,3,4,
S0027,PartnerA,2023-08-22 12:43:00,2023-08-22 12:44:46,pre,4,4,I wish we had more time for small-group work.
S0129,PartnerA,2023-11-17 18:12:00,2023-11-17 18:17:55,post,3,3,This helped me feel more connected to peers.
S0111,PartnerA,2023-08-27 12:31:00,2023-08-27 12:43:57,pre,4,3,I wish we had more time for small-group work.
S0125,PartnerA,2023-08-28 20:44:00,2023-08-28 20:58:02,pre,4,4,The dialogue exercises were eye-opening.
S0177,PartnerA,2023-08-28 08:48:00,2023-08-28 08:52:17,pre,3,2,This helped me feel more connected to peers.
S0030,PartnerA,2023-11-22 08:03:00,2023-11-22 08:10:18,post,4,5,I learned a lot about perspective-taking.
S0130,PartnerA,2023-08-31 10:42:00,2023-08-31 10:48:40,pre,3,3,I learned a lot about perspective-taking.
S0156,PartnerA,2023-11-20 14:31:00,2023-11-20 14:44:45,post,5,3,I learned a lot about perspective-taking.
S0006,PartnerA,2023-11-17 12:36:00,2023-11-17 12:37:34,post,3,4,
S0165,PartnerA,2023-11-21 15:47:00,2023-11-21 15:58:32,post,5,4,I learned a lot about perspective-taking.
S0159,PartnerA,2023-11-18 19:10:00,2023-11-18 19:19:40,post,4,5,The dialogue exercises were eye-opening.
S0137,PartnerA,2023-11-16 18:35:00,2023-11-16 18:43:44,post,3,3,I learned a lot about perspective-taking.
S0196,PartnerA,2023-11-19 14:12:00,2023-11-19 14:24:41,post,3,4,This helped me feel more connected to peers.
S0109,PartnerA,2023-08-22 12:50:00,2023-08-22 13:04:28,pre,3,3,
S0196,PartnerA,2023-08-28 13:08:00,2023-08-28 13:14:14,pre,3,4,
S0078,PartnerA,2023-11-27 13:32:00,2023-11-27 13:36:13,post,3,3,The dialogue exercises were eye-opening.
S0181,PartnerA,2023-08-22 13:28:00,2023-08-22 13:42:09,pre,4,5,I wish we had more time for small-group work.
S0039,PartnerA,2023-08-21 11:01:00,2023-08-21 11:14:27,pre,2,4,I learned a lot about perspective-taking.
S0197,PartnerA,2023-11-26 18:13:00,2023-11-26 18:25:48,post,5,4,This helped me feel more connected to peers.
S0034,PartnerA,2023-08-22 20:45:00,2023-08-22 20:51:59,pre,4,3,
S0130,PartnerA,2023-11-27 17:36:00,2023-11-27 17:41:02,post,3,5,I learned a lot about perspective-taking.
S0183,PartnerA,2023-08-27 17:37:00,2023-08-27 17:38:51,pre,2,4,This helped me feel more connected to peers.
S0017,PartnerA,2023-08-31 09:06:00,2023-08-31 09:13:18,pre,3,4,
S0161,PartnerA,2023-11-28 09:13:00,2023-11-28 09:26:23,post,3,5,
S0112,PartnerA,2023-08-25 17:30:00,2023-08-25 17:41:00,pre,3,3,I wish we had more time for small-group work.
S0137,PartnerA,2023-08-31 15:34:00,2023-08-31 15:37:20,pre,2,3,This helped me feel more connected to peers.
S0107,PartnerA,2023-11-17 08:31:00,2023-11-17 08:39:00,post,5,4,I learned a lot about perspective-taking.
S0021,PartnerA,2023-08-26 08:49:00,2023-08-26 08:52:24,pre,4,3,This helped me feel more connected to peers.
S0126,PartnerA,2023-08-24 08:41:00,2023-08-24 08:48:32,pre,4,3,The dialogue exercises were eye-opening.
S0031,PartnerA,2023-08-30 14:12:00,2023-08-30 14:15:50,pre,1,3,This helped me feel more connected to peers.
S0093,PartnerA,2023-11-24 17:15:00,2023-11-24 17:26:13,post,5,2,I learned a lot about perspective-taking.
S0071,PartnerA,2023-08-26 20:45:00,2023-08-26 20:47:05,pre,2,5,I wish we had more time for small-group work.
S0173,PartnerA,2023-08-20 18:31:00,2023-08-20 18:32:39,pre,2,2,
S0071,PartnerA,2023-11-22 12:32:00,2023-11-22 12:44:45,post,5,3,I learned a lot about perspective-taking.
S0146,PartnerA,2023-11-17 12:18:00,2023-11-17 12:24:42,post,3,4,
S0082,PartnerA,2023-11-19 20:21:00,2023-11-19 20:33:14,post,3,5,The dialogue exercises were eye-opening.
S0072,PartnerA,2023-11-20 19:57:00,2023-11-20 20:02:48,post,2,3,I learned a lot about perspective-taking.
S0139,PartnerA,2023-11-22 11:40:00,2023-11-22 11:50:47,post,5,2,The dialogue exercises were eye-opening.
S0049,PartnerA,2023-11-18 13:57:00,2023-11-18 13:58:51,post,4,5,I learned a lot about perspective-taking.
S0033,PartnerA,2023-08-20 16:23:00,2023-08-20 16:26:49,pre,2,2,I wish we had more time for small-group work.
S0002,PartnerA,2023-11-25 11:14:00,2023-11-25 11:26:15,post,2,4,I learned a lot about perspective-taking.
S0117,PartnerA,2023-08-31 20:14:00,2023-08-31 20:18:59,pre,2,4,
S0156,PartnerA,2023-09-02 16:33:00,2023-09-02 16:41:30,pre,3,2,The dialogue exercises were eye-opening.
S0148,PartnerA,2023-08-28 08:57:00,2023-08-28 09:01:03,pre,2,4,
S0008,PartnerA,2023-09-01 08:51:00,2023-09-01 09:00:27,pre,1,4,
